                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0964,                 2.1443,                0.79515,                 1.0792,                0.70108,                 0.5539,                0.62076,                0.38092,                0.64154,                0.48623,                0.51991,                0.25141,                 1.2045,                 2.3373,                0.89298,                 1.1374,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.1004,                 2.1595,                0.80323,                 1.0777,                0.71459,                0.54734,                0.62462,                0.38666,                 0.6746,                0.48261,                0.53023,                0.25685,                 1.2182,                 2.3502,                0.86916,                 1.1379,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.0864,                 2.1492,                 0.7834,                 1.0725,                0.68649,                0.57643,                0.61852,                0.38037,                  0.642,                0.50143,                0.53808,                0.26203,                 1.2166,                 2.3338,                0.85515,                 1.1438,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.0826,                 2.1361,                0.78103,                 1.0698,                0.67066,                0.59177,                0.63232,                 0.3851,                0.60738,                0.52012,                0.53091,                0.25663,                 1.2268,                 2.3356,                0.86779,                 1.1465,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.0764,                 2.1423,                0.77972,                 1.0686,                0.65395,                0.59854,                0.62002,                0.38197,                0.65238,                0.48787,                0.53359,                0.26074,                 1.2212,                 2.3254,                0.85942,                 1.1408,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.0674,                 2.1152,                0.77693,                 1.0641,                0.71342,                0.57306,                0.62753,                0.38632,                0.63287,                0.50247,                0.53955,                0.26148,                 1.2021,                 2.2939,                0.86773,                 1.1257,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.0767,                 2.1401,                0.77892,                 1.0668,                0.71464,                 0.5626,                 0.6337,                0.39243,                0.69495,                0.49309,                0.54103,                0.26005,                  1.209,                 2.3262,                0.85918,                 1.1405,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.0726,                 2.1195,                0.76598,                 1.0656,                0.67718,                0.58136,                 0.6231,                  0.393,                0.64464,                0.50452,                0.54281,                0.25805,                 1.1957,                 2.3271,                0.86575,                 1.1372,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.0672,                 2.1135,                0.77416,                 1.0684,                0.75583,                0.55019,                0.63071,                0.39458,                0.69091,                0.48582,                0.54814,                0.26349,                 1.2156,                 2.3134,                0.84936,                 1.1422,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.0684,                 2.1264,                0.76735,                 1.0599,                0.69472,                0.59169,                0.62887,                0.39304,                  0.642,                0.50714,                0.54442,                0.26749,                 1.2169,                 2.3252,                0.84481,                 1.1476,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.0764,                 2.1154,                0.76498,                 1.0657,                 0.6868,                0.57981,                0.62619,                0.38652,                0.67733,                0.49966,                0.54868,                0.26504,                 1.2097,                 2.3104,                0.85267,                 1.1418,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.0615,                 2.1022,                0.75774,                 1.0611,                0.71984,                0.58448,                0.63331,                0.39421,                0.66695,                0.50667,                0.54227,                0.25868,                 1.2059,                 2.3291,                0.85374,                 1.1394,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.0643,                 2.1151,                0.75974,                 1.0609,                0.71052,                0.58854,                0.63947,                0.39675,                0.68325,                0.48543,                0.54562,                0.26294,                 1.2026,                 2.3132,                0.84292,                 1.1278,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.0538,                 2.0943,                0.75177,                 1.0564,                0.69174,                0.61049,                0.63627,                0.39552,                 0.6916,                0.47854,                 0.5377,                0.26069,                  1.212,                 2.3238,                0.85301,                 1.1474,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.0534,                 2.0962,                0.74992,                 1.0508,                  0.706,                0.57826,                0.63832,                0.39394,                0.66164,                0.52621,                0.55111,                0.26389,                 1.2023,                  2.312,                0.83368,                 1.1297,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.0495,                 2.0878,                0.74948,                  1.055,                 0.6811,                 0.6105,                0.63848,                0.39468,                0.62573,                0.51605,                0.54317,                0.25963,                 1.1869,                 2.3015,                0.85543,                 1.1178,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.0512,                 2.0843,                0.74375,                 1.0527,                0.71009,                0.59696,                0.63801,                0.39132,                0.67671,                0.52946,                0.55391,                 0.2646,                 1.2014,                 2.3115,                0.84899,                  1.134,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0531,                 2.0875,                0.74533,                 1.0504,                 0.7324,                0.57308,                0.62731,                0.38849,                0.66367,                0.51806,                0.55424,                 0.2644,                 1.1991,                 2.3041,                0.85466,                 1.1311,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.0402,                 2.0694,                0.73771,                 1.0481,                0.70215,                0.60421,                0.64342,                0.39632,                0.62333,                0.52738,                0.54067,                0.26317,                 1.2173,                 2.3194,                0.85328,                 1.1475,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0347,                 2.0645,                0.73775,                  1.048,                0.72067,                0.59173,                0.63516,                0.39556,                 0.6692,                0.49518,                0.54049,                0.26362,                 1.1945,                 2.3133,                 0.8467,                 1.1288,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.0499,                 2.0861,                0.74233,                 1.0514,                0.72954,                0.57307,                0.63629,                0.39727,                0.67893,                0.50453,                0.54797,                0.26345,                 1.2015,                 2.2929,                0.83608,                 1.1386,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.0305,                 2.0575,                0.73235,                 1.0459,                0.72094,                0.59072,                0.63339,                0.39352,                0.66526,                0.51786,                0.54326,                0.26529,                 1.1915,                 2.3091,                0.84097,                 1.1242,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0363,                 2.0742,                0.73319,                 1.0456,                0.73097,                 0.5721,                0.63565,                0.39352,                0.67642,                0.52113,                0.55135,                0.26421,                 1.1944,                 2.2941,                 0.8444,                 1.1267,             0.00044576,             0.00044576,             0.00044576
